session,ground_frustration_100,velocity_frustration_100,combined_frustration_100,off_ground_ratio,avg_off_ground_duration,event_frequency,num_events,rapid_change_ratio,avg_rapid_change_magnitude,rapid_change_frequency,speed_std,total_time,total_records,track,difficulty
telemetry_20251116_094605,18.395076558106226,56.64688328866456,37.5209799233854,0.01752583477689505,0.0022148175182481336,457.42904841402344,1370,0.3131593094797204,12.376015923396787,8752.253756260436,6.27805429588355,179.7,83705,abyss,2
telemetry_20251115_223414,33.566081061668626,26.245557970981626,29.905819516325128,0.009824791223186507,1.5,0.3930130146259793,1,5.458217346214726e-05,23.0,0.3930130146259793,3.950326520747078,152.6667,18321,sandtrack,2
telemetry_20251115_233947,33.53610501540206,25.68482266378369,29.61046383959287,0.009103322712790168,1.5,0.36415125143612154,1,0.00010114803014211298,22.5059,0.7283025028722431,5.7479560646946,164.7667,19773,scotland,2
telemetry_20251115_235951,35.5926716380092,21.610600099523847,28.60163586876652,0.04308017372931095,1.5291749999999986,1.6904384574749076,4,0.00011738466956215518,18.9341,0.8452192287374538,6.04459446212055,141.975,17038,hacienda,2
telemetry_20251116_095843,22.140957021938174,34.92440782962941,28.53268242578379,0.051436326622935985,0.005985199004975236,516.995531482445,1608,0.24318027595566613,11.699851083620128,3456.6038302038346,6.25080371937895,186.6167,44210,ravenbridge_mansion,2
telemetry_20251116_001621,34.24023430104188,22.549619345574907,28.394926823308392,0.026050460707221768,1.5,1.0420689004378425,3,0.0001929663756090501,19.752825,1.38942520058379,6.036101014999304,172.7333,20729,abyss,2
telemetry_20251115_234421,37.2456859368136,19.42295378851572,28.334319862664657,0.030351685917024914,1.6277999999999981,1.1188233955917117,3,0.00041435748692184184,16.9998875,2.983529054911231,8.44360352211792,160.8833,19307,scotland,2
telemetry_20251116_101436,33.996675357248265,22.01553957849415,28.006107467871207,0.020188425302826378,1.5,0.807582119324296,2,0.00022431583669807088,19.28295,1.615164238648592,5.747453182044463,148.5917,17832,sandtrack,2
telemetry_20251116_100900,18.343366895128042,36.86548357818947,27.604425236658752,0.04419966536530954,0.006211574074074086,426.245683275777,1080,0.22894590072504184,14.55010735688185,3240.2565367538236,6.352128531642933,152.025,35860,hacienda,2
telemetry_20251111_124504,39.766651870107935,14.787792608039348,27.277222239073645,0.0359600155783461,1.731274999999993,1.2463214044795907,4,0.00012981955082435416,12.9535,0.934741053359693,4.364099221684226,192.5667,23109,cornfield_crossing,1
telemetry_20251111_221300,42.30323372100452,12.228858822111322,27.26604627155792,0.05613036730470771,1.8082999999999991,1.8628738554968751,1,0.0002586652871184687,10.7034,1.8628738554968751,5.81177270031788,32.2083,3866,cornfield_crossing,2
telemetry_20251115_234944,41.39873100891008,12.80882500237076,27.10377800564042,0.03422173158807759,1.8083000000000016,1.1355270454154043,3,5.256794406770751e-05,11.223399999999998,0.3785090151384681,3.868713290937029,158.5167,19023,cornfield_crossing,2
telemetry_20251115_223103,32.61114638632924,21.094690938949526,26.85291866263938,0.06818181818181818,1.3468625000000007,3.0374940673943995,8,0.00036912043872600715,18.467657142857142,2.6578073089700998,6.964375003212135,158.025,18964,hacienda,2
telemetry_20251116_002254,40.1005201267622,13.59760110536683,26.849060616064513,0.04403582216098776,1.731275000000002,1.5262321144674087,4,0.00010598272481585502,11.911700000000002,0.7631160572337043,4.576801177617398,157.25,18871,cornfield_crossing,2
telemetry_20251113_210838,33.796592241275135,18.70569726996846,26.251144755621798,0.015372790161414296,1.5,0.6149377606119041,2,0.00017080877957126997,16.38505,1.2298755212238082,4.623507450282614,195.1417,23418,scotland,1
telemetry_20251116_101738,20.470061065106837,29.37399913535072,24.922030100228778,0.041380340603525544,0.004896106705118927,484.8472137015656,1387,0.20720047804003586,9.741420175438597,2909.0832822093935,4.28857055460647,171.6417,40164,cornfield_crossing,2
telemetry_20251113_212259,30.22833764640612,19.37870980479541,24.80352372560077,0.036793878707727184,1.2983000000000007,1.7004392801473713,5,0.00014169658038919327,16.976566666666667,1.020263568088423,4.390844081123384,176.425,21172,hacienda,1
telemetry_20251113_212618,28.18615534930794,19.195817644567647,23.690986496937793,0.013500742540839746,1.25,0.6480646898173376,2,9.000495027226497e-05,16.819200000000002,0.6480646898173376,3.119385992573293,185.1667,22221,sandtrack,1
telemetry_20251113_212942,28.567738487134076,18.559090832226307,23.56341465968019,0.027013552100802248,1.241674999999998,1.3054120206690238,4,9.064950369396728e-05,16.2611,0.6527060103345119,3.3967666655470765,183.85,22063,hacienda,1
telemetry_20251115_234716,15.320049912499789,30.00823122084365,22.66414056667172,0.03785950623568338,0.619799999999997,3.665288874397422,8,0.00012725884448969204,26.2937,0.9163222185993555,5.049475196015178,130.9583,15716,snowtuxpeak,2
telemetry_20251113_213310,26.82841859495922,17.278644009815554,22.053531302387384,0.01627942525221645,1.183366666666662,0.8254673176852245,3,7.642922653622745e-05,15.139650000000001,0.550311545123483,3.097102209536691,218.0583,26168,volcano_island,1
telemetry_20251113_211900,26.324275171061817,14.46117210088332,20.39272363597257,0.016003062787136296,1.1611000000000047,0.8269843144047344,3,7.656967840735069e-05,12.67025,0.551322876269823,2.991321224501022,217.6583,26120,volcano_island,1
telemetry_20251115_222800,18.28071939622489,21.852441940023827,20.066580668124356,0.010287411178279774,0.8083500000000008,0.7636419868182667,2,0.0001590836780146357,19.1437,1.1454629802274,6.27531280452992,157.1417,18858,scotland,2
telemetry_20251116_001313,20.089668949455312,18.31735873156654,19.203513840510926,0.031075454453132933,0.8499833333333342,2.193673324262088,6,0.00030466131816796996,16.0371,2.193673324262088,6.091208601626207,164.1083,19694,sandtrack,2
telemetry_20251115_192307,16.896650534835064,20.37711926971501,18.636884902275035,0.07522573363431151,0.6171222222222225,7.3141841670938925,18,0.000564334085778781,17.82767,4.063435648385496,8.127750904163953,147.6583,17720,snowtuxpeak,2
telemetry_20251113_213720,21.451786969784102,15.528280279627435,18.49003362470577,0.03859788886675961,0.8972222222222234,2.581261950286807,9,0.0003186616211909978,13.591800000000001,2.294455066921606,4.800491369342212,209.2,25105,ravenbridge_mansion,1
telemetry_20251115_222444,18.50222003850078,16.665387497036875,17.58380376776883,0.03875458564575299,0.7629444444444471,3.0478340623677154,9,0.00018812905653278148,14.595824999999998,1.3545929166078734,4.625951715512388,177.175,21262,ravenbridge_mansion,2
telemetry_20251116_100525,20.320074965790145,14.689206780818223,17.504640873304183,0.019246482069904675,0.8832999999999984,1.307367560942394,4,0.00013617793917385383,12.866733333333334,0.9805256707067956,4.220372536360563,183.575,22030,volcano_island,2
telemetry_20251113_211211,12.085631070309667,21.4364057589814,16.761018414645534,0.019972714870395633,0.5083499999999953,2.357563850687623,6,0.00016371077762619373,18.7788,1.1787819253438114,3.6513138483912577,152.7,18325,snowtuxpeak,1
telemetry_20251113_211506,19.84927447860675,11.987058665975976,15.918166572291362,0.04182318088525733,0.8181909090909104,3.0671525160177393,11,0.00030980133989079504,10.488575,2.2306563752856285,5.009188800500852,215.1833,25823,ravenbridge_mansion,1
telemetry_20251115_235240,16.088494620213034,15.724198502903777,15.906346561558404,0.042031602708803614,0.6465499999999927,3.900853311661926,12,0.00040632054176072233,13.758544444444446,2.9256399837464446,5.693825085681004,184.575,22150,ravenbridge_mansion,2
telemetry_20251115_222117,16.24103258830492,13.4556660200946,14.84834930419976,0.015306813563913849,0.7062500000000025,1.300460579788675,4,0.00027091705422856366,11.777949999999999,1.9506908696830125,4.272777778874643,184.55,22147,volcano_island,2
telemetry_20251116_001930,15.213740042221314,13.810244339156919,14.511992190689115,0.033658821941232056,0.6233299999999986,3.2400329835357726,10,0.0004049858254961076,12.081122222222222,2.9160296851821954,6.572707149591355,185.1833,22223,ravenbridge_mansion,2
telemetry_20251115_235600,22.636730670638826,0.0,11.318365335319413,0.010859769286229271,1.0041999999999973,0.6489117209679599,2,0.0,0.0,0.0,4.1715374862269945,184.925,22192,volcano_island,2
